m_p,m_u,seed,estimator,mse
25,25,18,combined,0.026680213212956164
25,25,18,pooled,0.028627749287908233
25,25,19,paired,0.04189375251026007
25,25,19,unpaired,0.13642923668641427
25,25,19,combined,0.03294482859243905
25,25,19,pooled,0.03186588264392199
25,25,20,paired,0.013666966968255066
25,25,20,unpaired,0.06020463576540654
25,25,20,combined,0.01753749682765412
25,25,20,pooled,0.017291212107126974
25,25,21,paired,0.011529888508316767
25,25,21,unpaired,0.0738496998382532
25,25,21,combined,0.02345391289496521
25,25,21,pooled,0.021000127606489696
25,25,22,paired,0.014170729545371082
25,25,22,unpaired,0.11609204421376798
25,25,22,combined,0.03295337046413652
25,25,22,pooled,0.03028445694285685
25,25,23,paired,0.014121320366192238
25,25,23,unpaired,0.07017793353196196
25,25,23,combined,0.01744910509048612
25,25,23,pooled,0.019314111824546436
25,25,24,paired,0.006855384137818411
25,25,24,unpaired,0.13148126887824504
25,25,24,combined,0.03521595398266628
25,25,24,pooled,0.03887476452260718
25,25,25,paired,0.005471264515093269
25,25,25,unpaired,0.05523798770380074
25,25,25,combined,0.015870753615855333
25,25,25,pooled,0.01471623155404708
25,25,26,paired,0.014585636173502869
25,25,26,unpaired,0.1021803465233891
25,25,26,combined,0.03438404626309082
25,25,26,pooled,0.03535197907660703
25,25,27,paired,0.009282142231171837
25,25,27,unpaired,0.07690463414241895
25,25,27,combined,0.022368268385679718
25,25,27,pooled,0.022766571311718532
25,25,28,paired,0.010463142588346798
25,25,28,unpaired,0.11642740073376338
25,25,28,combined,0.029579326807008994
25,25,28,pooled,0.0320026862066505
25,25,29,paired,0.03611647922602219
25,25,29,unpaired,0.14902604089216556
25,25,29,combined,0.059182754762605046
25,25,29,pooled,0.055916643904705
25,25,30,paired,0.01693600098218971
25,25,30,unpaired,0.14393494801171144
25,25,30,combined,0.04212450881602232
25,25,30,pooled,0.03684617556124219
25,25,31,paired,0.017102836020367055
25,25,31,unpaired,0.08536615957142818
25,25,31,combined,0.022751795586294678
25,25,31,pooled,0.023016914755192255
25,25,32,paired,0.020074947996458734
25,25,32,unpaired,0.09862368361591271
25,25,32,combined,0.03350025022140393
25,25,32,pooled,0.03640838914767426
25,25,33,paired,0.011379654606833963
25,25,33,unpaired,0.08444005593866612
25,25,33,combined,0.025075858857472808
25,25,33,pooled,0.025009970483055977
25,25,34,paired,0.007653565968981441
25,25,34,unpaired,0.08411659797483036
25,25,34,combined,0.024556685868537223
25,25,34,pooled,0.025278093525126024
25,25,35,paired,0.019299912220337147
25,25,35,unpaired,0.13230930160227783
25,25,35,combined,0.050128070610314684
25,25,35,pooled,0.03995480849312016
25,25,36,paired,0.007428246392327491
25,25,36,unpaired,0.07111561652482608
25,25,36,combined,0.018822248194908336
25,25,36,pooled,0.01771440406552152
25,25,37,paired,0.022120339341043363
25,25,37,unpaired,0.06658504102011738
25,25,37,combined,0.016975989778060623
25,25,37,pooled,0.017927355903598688
25,25,38,paired,0.009866597154920534
25,25,38,unpaired,0.0736023120149311
25,25,38,combined,0.02360285468750219
25,25,38,pooled,0.02126283490740731
25,25,39,paired,0.007470337863499997
25,25,39,unpaired,0.05923017067992494
25,25,39,combined,0.01652775601461846
25,25,39,pooled,0.01912579859049089
25,25,40,paired,0.006753211098722353
25,25,40,unpaired,0.08295843643720262
25,25,40,combined,0.020712797322638605
25,25,40,pooled,0.021153082984379176
25,25,41,paired,0.028860663250154777
25,25,41,unpaired,0.0887976516186613
25,25,41,combined,0.02296862524790756
25,25,41,pooled,0.021556912802151197
25,25,42,paired,0.00887654179167195
25,25,42,unpaired,0.13527572243650648
25,25,42,combined,0.03651239132640464
25,25,42,pooled,0.03355902066864556
25,25,43,paired,0.008903079056787128
25,25,43,unpaired,0.10326422011415909
25,25,43,combined,0.030798587263436015
25,25,43,pooled,0.02977471544037632
25,25,44,paired,0.0063293244506183195
25,25,44,unpaired,0.14690023290848087
25,25,44,combined,0.04281991657019315
25,25,44,pooled,0.03579069328464727
25,25,45,paired,0.008808447691150795
25,25,45,unpaired,0.06931339913806546
25,25,45,combined,0.02092476204904653
25,25,45,pooled,0.01832680505701548
25,25,46,paired,0.005584924164461562
25,25,46,unpaired,0.1068344619254656
25,25,46,combined,0.029083740791650735
25,25,46,pooled,0.02575762767340399
25,25,47,paired,0.006318408710768218
25,25,47,unpaired,0.07661676426955474
25,25,47,combined,0.02018501537614612
25,25,47,pooled,0.023696768378186774
25,25,48,paired,0.016926547726217597
25,25,48,unpaired,0.15137350186533843
25,25,48,combined,0.03636473320202757
25,25,48,pooled,0.03490031076092957
25,25,49,paired,0.01372315680697384
25,25,49,unpaired,0.08198505232568838
25,25,49,combined,0.022899577093521913
25,25,49,pooled,0.027288949766713564
25,50,0,paired,0.020446194191033207
25,50,0,unpaired,0.04002784496947454
25,50,0,combined,0.022064680502319786
25,50,0,pooled,0.029028306429183755
25,50,1,paired,0.009804083626030354
25,50,1,unpaired,0.047033088840735704
25,50,1,combined,0.01971620956043775
25,50,1,pooled,0.016131816192677034
25,50,2,paired,0.013979737631781137
25,50,2,unpaired,0.04671545336556365
25,50,2,combined,0.022920691617080182
25,50,2,pooled,0.0239883405870281
25,50,3,paired,0.0172829212380234
25,50,3,unpaired,0.04970037968125649
25,50,3,combined,0.02475658483693857
25,50,3,pooled,0.02545449450076922
25,50,4,paired,0.016823302990803295
25,50,4,unpaired,0.040088108270589486
25,50,4,combined,0.022801032990274524
25,50,4,pooled,0.023955139916107995
25,50,5,paired,0.007190017654820461
25,50,5,unpaired,0.06076685197842862
25,50,5,combined,0.03205978999127959
25,50,5,pooled,0.031012185511662304
25,50,6,paired,0.017231657116628454
25,50,6,unpaired,0.040931194226959615
25,50,6,combined,0.025184907078863897
25,50,6,pooled,0.02117992534823281
25,50,7,paired,0.020020125214157688
25,50,7,unpaired,0.03566290426924967
25,50,7,combined,0.016844743154614573
25,50,7,pooled,0.02209466843709878
25,50,8,paired,0.014844462237783369
25,50,8,unpaired,0.055132028557072416
25,50,8,combined,0.02389182308447294
25,50,8,pooled,0.02194641381153305
25,50,9,paired,0.008938543779180618
25,50,9,unpaired,0.03371291865753273
25,50,9,combined,0.016439214014793545
25,50,9,pooled,0.01557276712065267
25,50,10,paired,0.049640825613386536
25,50,10,unpaired,0.04053174539142851
25,50,10,combined,0.02815819284991336
25,50,10,pooled,0.025029147581222242
25,50,11,paired,0.04044321692337426
25,50,11,unpaired,0.0704471742281309
25,50,11,combined,0.04550408475386918
25,50,11,pooled,0.04956211281655049
25,50,12,paired,0.021102113026379522
25,50,12,unpaired,0.04852847253302057
25,50,12,combined,0.021749896422350444
25,50,12,pooled,0.020591244597605262
25,50,13,paired,0.007509348735082327
25,50,13,unpaired,0.04917589118631201
25,50,13,combined,0.02167641514417221
25,50,13,pooled,0.0198321031118084
25,50,14,paired,0.012625936018179495
25,50,14,unpaired,0.04206449571019834
25,50,14,combined,0.018099048172927547
25,50,14,pooled,0.021240377547199756
25,50,15,paired,0.011511347123152365
25,50,15,unpaired,0.04730698308365578
25,50,15,combined,0.0211190623327761
25,50,15,pooled,0.0187335092790298
25,50,16,paired,0.010535722583104517
25,50,16,unpaired,0.03319559095714603
25,50,16,combined,0.01576903416686015
25,50,16,pooled,0.01998237326716474
25,50,17,paired,0.030492438002481356
25,50,17,unpaired,0.031640059873335805
