experiment,estimator,mae,seed,obs_prob
task_parity,rbf_combined,1.056734149226513,0,0.3
task_parity,rbf_paired,1.7014472024595453,1,0.3
task_parity,rbf_unpaired,1.3996443440761683,1,0.3
task_parity,rbf_combined,1.2156605664215037,1,0.3
task_parity,rbf_paired,1.4787889387377597,2,0.3
task_parity,rbf_unpaired,1.2375438611526821,2,0.3
task_parity,rbf_combined,0.9867724691002476,2,0.3
task_parity,rbf_paired,1.4963678078628062,3,0.3
task_parity,rbf_unpaired,1.2877258137245993,3,0.3
task_parity,rbf_combined,1.036537160426268,3,0.3
task_parity,rbf_paired,1.5951832205458343,4,0.3
task_parity,rbf_unpaired,1.2721301377110115,4,0.3
task_parity,rbf_combined,1.0835408270982045,4,0.3
task_parity,rbf_paired,1.5633842338755706,5,0.3
task_parity,rbf_unpaired,1.202443970470612,5,0.3
task_parity,rbf_combined,1.1392141059356269,5,0.3
task_parity,rbf_paired,1.5408947156021013,6,0.3
task_parity,rbf_unpaired,1.0322620606403783,6,0.3
task_parity,rbf_combined,1.006659745381226,6,0.3
task_parity,rbf_paired,1.1974499914939138,7,0.3
task_parity,rbf_unpaired,0.9651106170472163,7,0.3
task_parity,rbf_combined,0.8724050311037786,7,0.3
task_parity,rbf_paired,1.6545901187526508,8,0.3
task_parity,rbf_unpaired,1.3145200442033538,8,0.3
task_parity,rbf_combined,1.1517870656707236,8,0.3
task_parity,rbf_paired,1.6437717138793593,9,0.3
task_parity,rbf_unpaired,1.189566982297059,9,0.3
task_parity,rbf_combined,1.1394810738973584,9,0.3
task_parity,rbf_paired,1.6721472325897817,10,0.3
task_parity,rbf_unpaired,1.1597969593338249,10,0.3
task_parity,rbf_combined,1.0803997529562728,10,0.3
task_parity,rbf_paired,1.4793420351880606,11,0.3
task_parity,rbf_unpaired,1.1587081465225828,11,0.3
task_parity,rbf_combined,1.0587876062082797,11,0.3
task_parity,rbf_paired,1.8039584242576756,12,0.3
task_parity,rbf_unpaired,1.4323358219176874,12,0.3
task_parity,rbf_combined,1.104505725578943,12,0.3
