experiment,estimator,rmse,seed,n_models
n_models,rbf_paired,2.0831084134651303,37,100
n_models,rbf_unpaired,1.7112347410861173,37,100
n_models,rbf_combined,1.4821756586879395,37,100
n_models,rbf_paired,1.939626018697989,38,100
n_models,rbf_unpaired,1.713782125421751,38,100
n_models,rbf_combined,1.3928286790439233,38,100
n_models,rbf_paired,2.2953525864860835,39,100
n_models,rbf_unpaired,1.7185148857674657,39,100
n_models,rbf_combined,1.6227773936099643,39,100
n_models,rbf_paired,2.3028478511396635,40,100
n_models,rbf_unpaired,2.0268537331932253,40,100
n_models,rbf_combined,1.6318521149211966,40,100
n_models,rbf_paired,2.409343914783282,41,100
