obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,93,2,2,matcomplete,0.21820215104931426,knn,0.30000000000000004
0.4,93,2,2,ensemble,0.20254772857796788,knn,0.30000000000000004
0.4,93,2,3,combined,0.2752654348042169,knn,0.30000000000000004
0.4,93,2,3,matcomplete,0.22717645861548533,knn,0.30000000000000004
0.4,93,2,3,ensemble,0.20466616141335284,knn,0.30000000000000004
0.4,93,2,4,combined,0.2613155439333077,knn,0.25
0.4,93,2,4,matcomplete,0.2178947156678186,knn,0.25
0.4,93,2,4,ensemble,0.20285739119601204,knn,0.25
0.4,93,2,5,combined,0.27585743355546916,knn,0.30000000000000004
0.4,93,2,5,matcomplete,0.23207879583613114,knn,0.30000000000000004
0.4,93,2,5,ensemble,0.21541520406503206,knn,0.30000000000000004
0.4,93,2,6,combined,0.2800255610939164,knn,0.25
0.4,93,2,6,matcomplete,0.21444081534222137,knn,0.25
0.4,93,2,6,ensemble,0.20276569780484918,knn,0.25
0.4,93,2,7,combined,0.26942426708261613,knn,0.25
0.4,93,2,7,matcomplete,0.231231531083815,knn,0.25
0.4,93,2,7,ensemble,0.21504263425114092,knn,0.25
0.4,93,2,8,combined,0.26429949467628555,knn,0.2
0.4,93,2,8,matcomplete,0.23026287459768283,knn,0.2
0.4,93,2,8,ensemble,0.21001208742264027,knn,0.2
0.4,93,2,9,combined,0.27133210631899085,knn,0.35000000000000003
0.4,93,2,9,matcomplete,0.21979677709898335,knn,0.35000000000000003
0.4,93,2,9,ensemble,0.20379425816622423,knn,0.35000000000000003
0.4,93,2,10,combined,0.2861684477753402,knn,0.35000000000000003
0.4,93,2,10,matcomplete,0.23369980991529188,knn,0.35000000000000003
0.4,93,2,10,ensemble,0.2133982560019144,knn,0.35000000000000003
0.4,93,2,11,combined,0.26147005398384165,knn,0.35000000000000003
0.4,93,2,11,matcomplete,0.2011895930452301,knn,0.35000000000000003
0.4,93,2,11,ensemble,0.18580182462533593,knn,0.35000000000000003
0.4,93,4,0,combined,0.21863412971599114,knn,0.35000000000000003
0.4,93,4,0,matcomplete,0.1999539746317216,knn,0.35000000000000003
